ID,Basin_File,River_File,Basin_Path,River_Path,BOUNDING_BOX_COORDS,Lat,Lon,Area_km2
CAN_05AA022,CAN_05AA022_distributed_basin.shp,CAN_05AA022_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05AA022,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05AA022,49.572083333333325/-114.60541666666667/49.154583333333335/-114.09958333333334,49.374960592285646,-114.36748474267344,824.672770932353
CAN_08ND012,CAN_08ND012_distributed_basin.shp,CAN_08ND012_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_08ND012,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_08ND012,51.79541666666667/-118.62041666666667/51.50208333333333/-117.92208333333333,51.65276736745049,-118.2540362666837,943.1282771363545
CAN_02HL004,CAN_02HL004_distributed_basin.shp,CAN_02HL004_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02HL004,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02HL004,44.96124999999999/-77.51041666666666/44.542916666666684/-77.09875000000001,44.749851890795846,-77.29678983571083,681.1831740649199
CAN_05MF008,CAN_05MF008_distributed_basin.shp,CAN_05MF008_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05MF008,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05MF008,50.771249999999995/-100.07041666666666/50.41458333333334/-99.59041666666667,50.582619108879925,-99.79874263831998,733.9291481798455
CAN_05TF002,CAN_05TF002_distributed_basin.shp,CAN_05TF002_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05TF002,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05TF002,56.254583333333336/-98.93208333333332/55.85541666666668/-98.47791666666667,56.068711126044306,-98.72269461947121,654.8584813697815
CAN_06AB002,CAN_06AB002_distributed_basin.shp,CAN_06AB002_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_06AB002,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_06AB002,54.956250000000004/-111.06208333333333/54.59458333333334/-110.33125,54.76963458160312,-110.71512496540949,738.846867652039
CAN_07JC002,CAN_07JC002_distributed_basin.shp,CAN_07JC002_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07JC002,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07JC002,56.70625/-115.25791667/56.27791666666668/-114.75375000000003,56.49698411418863,-115.04525010703857,650.3626991677237
USA_01423000,USA_01423000_distributed_basin.shp,USA_01423000_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/USA_01423000,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/USA_01423000,42.462916666666665/-75.20458333333332/42.12708333333333/-74.55958333333334,42.28907347784168,-74.87713213533479,858.543923776649
CAN_08HF005,CAN_08HF005_distributed_basin.shp,CAN_08HF005_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_08HF005,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_08HF005,50.363749999999996/-126.66208333333333/49.90708333333334/-126.19875,50.10868404272643,-126.41724359818866,858.6929608613762
CAN_05BJ004,CAN_05BJ004_distributed_basin.shp,CAN_05BJ004_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05BJ004,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05BJ004,50.989583333333336/-115.09958333333333/50.61708333333334/-114.56625,50.822722310307256,-114.85789313431653,796.1434223626569
